umur,jenis_kelamin,L,M,S
0,P,1.0,49.9,0.9
1,P,1.0,50.901666666666664,0.9183333333333333
2,P,1.0,51.90333333333333,0.9366666666666666
3,P,1.0,52.905,0.9550000000000001
4,P,1.0,53.906666666666666,0.9733333333333334
5,P,1.0,54.90833333333333,0.9916666666666667
6,P,1.0,55.91,1.01
7,P,1.0,56.91166666666666,1.0283333333333333
8,P,1.0,57.913333333333334,1.0466666666666666
9,P,1.0,58.915,1.065
10,P,1.0,59.916666666666664,1.0833333333333335
11,P,1.0,60.91833333333334,1.1016666666666666
12,P,1.0,61.92,1.12
13,P,1.0,62.92166666666667,1.1383333333333334
14,P,1.0,63.92333333333333,1.1566666666666667
15,P,1.0,64.925,1.175
16,P,1.0,65.92666666666666,1.1933333333333334
17,P,1.0,66.92833333333333,1.2116666666666667
18,P,1.0,67.93,1.23
19,P,1.0,68.93166666666667,1.2483333333333333
20,P,1.0,69.93333333333334,1.2666666666666666
21,P,1.0,70.935,1.2850000000000001
22,P,1.0,71.93666666666667,1.3033333333333332
23,P,1.0,72.93833333333333,1.3216666666666668
24,P,1.0,73.94,1.34
25,P,1.0,74.94166666666666,1.3583333333333334
26,P,1.0,75.94333333333333,1.3766666666666667
27,P,1.0,76.945,1.395
28,P,1.0,77.94666666666666,1.4133333333333333
29,P,1.0,78.94833333333334,1.4316666666666666
30,P,1.0,79.95,1.4500000000000002
31,P,1.0,80.95166666666667,1.4683333333333333
32,P,1.0,81.95333333333333,1.4866666666666668
33,P,1.0,82.955,1.505
34,P,1.0,83.95666666666666,1.5233333333333334
35,P,1.0,84.95833333333334,1.5416666666666667
36,P,1.0,85.96000000000001,1.56
37,P,1.0,86.96166666666667,1.5783333333333334
38,P,1.0,87.96333333333334,1.5966666666666667
39,P,1.0,88.965,1.615
40,P,1.0,89.96666666666667,1.6333333333333333
41,P,1.0,90.96833333333333,1.6516666666666668
42,P,1.0,91.97,1.67
43,P,1.0,92.97166666666666,1.6883333333333335
44,P,1.0,93.97333333333333,1.7066666666666666
45,P,1.0,94.975,1.725
46,P,1.0,95.97666666666666,1.7433333333333334
47,P,1.0,96.97833333333332,1.7616666666666667
48,P,1.0,97.97999999999999,1.78
49,P,1.0,98.98166666666667,1.7983333333333333
50,P,1.0,99.98333333333333,1.8166666666666667
51,P,1.0,100.985,1.835
52,P,1.0,101.98666666666666,1.8533333333333335
53,P,1.0,102.98833333333334,1.8716666666666666
54,P,1.0,103.99000000000001,1.8900000000000001
55,P,1.0,104.99166666666667,1.9083333333333332
56,P,1.0,105.99333333333334,1.9266666666666667
57,P,1.0,106.995,1.9449999999999998
58,P,1.0,107.99666666666667,1.9633333333333334
59,P,1.0,108.99833333333333,1.981666666666667
60,P,1.0,110.0,2.0
0,L,1.0,50.8,1.0
1,L,1.0,51.82,1.0166666666666666
2,L,1.0,52.839999999999996,1.0333333333333334
3,L,1.0,53.86,1.05
4,L,1.0,54.879999999999995,1.0666666666666667
5,L,1.0,55.9,1.0833333333333333
6,L,1.0,56.919999999999995,1.1
7,L,1.0,57.94,1.1166666666666667
8,L,1.0,58.959999999999994,1.1333333333333333
9,L,1.0,59.98,1.15
10,L,1.0,61.0,1.1666666666666667
11,L,1.0,62.019999999999996,1.1833333333333333
12,L,1.0,63.04,1.2
13,L,1.0,64.06,1.2166666666666668
14,L,1.0,65.08,1.2333333333333334
15,L,1.0,66.1,1.25
16,L,1.0,67.12,1.2666666666666666
17,L,1.0,68.14,1.2833333333333332
18,L,1.0,69.16,1.3
19,L,1.0,70.17999999999999,1.3166666666666667
20,L,1.0,71.19999999999999,1.3333333333333333
21,L,1.0,72.22,1.35
22,L,1.0,73.24,1.3666666666666667
23,L,1.0,74.25999999999999,1.3833333333333333
24,L,1.0,75.28,1.4
25,L,1.0,76.3,1.4166666666666667
26,L,1.0,77.32,1.4333333333333333
27,L,1.0,78.34,1.45
28,L,1.0,79.36,1.4666666666666668
29,L,1.0,80.38,1.4833333333333334
30,L,1.0,81.4,1.5
31,L,1.0,82.42,1.5166666666666666
32,L,1.0,83.44,1.5333333333333332
33,L,1.0,84.46000000000001,1.55
34,L,1.0,85.47999999999999,1.5666666666666667
35,L,1.0,86.5,1.5833333333333335
36,L,1.0,87.52,1.6
37,L,1.0,88.53999999999999,1.6166666666666667
38,L,1.0,89.56,1.6333333333333333
39,L,1.0,90.58,1.65
40,L,1.0,91.6,1.6666666666666665
41,L,1.0,92.62,1.6833333333333333
42,L,1.0,93.64,1.7
43,L,1.0,94.66,1.7166666666666668
44,L,1.0,95.68,1.7333333333333334
45,L,1.0,96.69999999999999,1.75
46,L,1.0,97.72,1.7666666666666666
47,L,1.0,98.74,1.7833333333333332
48,L,1.0,99.75999999999999,1.8
49,L,1.0,100.78,1.8166666666666667
50,L,1.0,101.8,1.8333333333333335
51,L,1.0,102.82,1.85
52,L,1.0,103.84,1.8666666666666667
53,L,1.0,104.86,1.8833333333333333
54,L,1.0,105.88,1.9
55,L,1.0,106.9,1.9166666666666665
56,L,1.0,107.92,1.9333333333333333
57,L,1.0,108.94,1.95
58,L,1.0,109.96000000000001,1.9666666666666668
59,L,1.0,110.97999999999999,1.9833333333333334
60,L,1.0,112.0,2.0
